what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.java.tasks,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.java.tasks",1252195530120
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1252195530276
activated,editor,org.eclipse.wst.xml.ui,1.1.0.v200905242047,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1252195532475
closed,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1252195532475
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252195532803
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252195538107
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1252195540603
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252195542693
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252195544206
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1252195544206
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252195548231
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1252195552631
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1252195558514
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252195569559
opened,editor,com.google.gwt.eclipse.core,1.1.0.v200907291526,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1252195569934
activated,editor,com.google.gwt.eclipse.core,1.1.0.v200907291526,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1252195570090
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252195570776
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252195603539
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1252195604569
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252195606472
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1252195607080
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1252195612603
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1252195615676
opened,editor,com.google.gwt.eclipse.core,1.1.0.v200907291526,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1252195616050
activated,editor,com.google.gwt.eclipse.core,1.1.0.v200907291526,"com.google.gwt.eclipse.core.editors.gwtJavaEditor",1252195616160
